id,host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
23939766,177423452,3/8/2018,within an hour,t,15,t,t,Entire cottage,2,1 bath,1,1,$275.00 ,2,1125,30,60,90,351,4,0,0,5,5,5,5,5,4.75,0.09
23965517,177423452,3/8/2018,within an hour,t,15,t,t,Entire cottage,6,1 bath,1,3,$320.00 ,2,1125,27,54,81,339,9,2,0,4.89,5,4.78,5,5,4.78,0.38
24062609,92546339,8/29/2016,within an hour,t,2,t,t,Entire residential home,6,1 bath,3,3,$142.00 ,3,30,7,22,52,122,92,22,3,4.89,4.95,4.87,4.98,4.73,4.83,3.2
24078749,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,6,2 baths,3,3,$425.00 ,2,1124,30,60,90,236,55,7,1,4.22,4.43,4.46,4.67,4.76,4.43,2.04
24082578,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,4,1.5 baths,1,2,$133.00 ,2,1124,23,41,71,282,61,18,0,4.65,4.78,4.77,4.73,4.97,4.75,1.47
24101144,34552265,5/30/2015,within a few hours,t,2,t,t,Entire rental unit,2,1 bath,1,2,$58.00 ,30,1125,5,27,27,117,23,4,1,4.91,4.87,4.96,4.87,4.65,4.96,0.72
24120098,9288450,10/7/2013,within an hour,f,42,t,t,Entire condominium (condo),2,1 bath,,1,$102.00 ,1,365,6,36,62,195,77,23,0,4.49,4.56,4.57,4.66,4.81,4.47,1.77
24127808,120623706,3/13/2017,within an hour,t,1,t,t,Entire loft,2,1 bath,1,1,$190.00 ,2,10,20,26,56,127,19,0,0,4.84,4.68,5,4.89,4.95,4.84,0.59
24130389,181787762,4/1/2018,within an hour,t,2,t,t,Entire rental unit,2,1 bath,1,2,$150.00 ,2,61,9,20,48,111,171,36,2,4.92,4.95,4.98,4.98,4.92,4.9,5.67
24181122,70578522,5/5/2016,within a few hours,t,2,t,t,Entire residential home,6,1.5 baths,2,3,$216.00 ,2,1125,30,60,90,111,9,9,0,5,5,5,5,4.78,5,2.73
24183274,177423452,3/8/2018,within an hour,t,15,t,t,Entire cottage,10,3 baths,3,5,$899.00 ,2,1125,29,51,81,343,31,4,1,4.81,4.81,4.68,4.87,4.97,4.58,0.71
24200780,182423190,4/4/2018,within an hour,t,1,t,t,Entire condominium (condo),2,1 bath,1,1,$105.00 ,2,30,13,32,60,60,88,22,1,4.95,4.94,4.97,4.97,4.93,4.91,2.42
24201760,182200650,4/3/2018,within an hour,t,1,t,t,Entire residential home,4,2 baths,2,2,$200.00 ,30,1125,0,0,30,241,91,7,0,4.9,4.89,4.89,5,4.96,4.97,2.5
24203107,182447289,4/4/2018,within an hour,t,1,t,f,Entire residential home,4,1 bath,2,3,$125.00 ,1,1125,20,45,75,157,50,14,3,4.82,4.82,4.88,4.94,4.54,4.7,1.17
24206681,20627474,8/27/2014,within an hour,t,6,t,t,Entire residential home,10,3.5 baths,5,7,$986.00 ,3,1125,7,18,28,225,17,6,1,5,5,4.71,4.88,4.88,4.59,0.42
24229774,98009961,10/4/2016,within an hour,t,1,t,t,Entire rental unit,6,2 baths,3,3,$304.00 ,3,21,14,25,52,193,82,19,3,4.98,5,4.98,5,4.89,4.91,2.14
24232519,175870552,2/28/2018,within an hour,f,2,t,t,Entire residential home,4,1 bath,2,2,$157.00 ,30,1125,29,59,89,179,27,0,0,4.46,4.58,4.58,4.38,4.69,4.42,0.97
24240116,11362234,1/16/2014,within an hour,t,16,t,t,Entire townhouse,6,2 baths,3,5,$188.00 ,1,365,12,38,68,253,72,6,0,4.85,4.93,4.79,4.94,4.78,4.81,2.62
24251537,175870552,2/28/2018,within an hour,f,2,t,t,Entire residential home,8,2 baths,4,5,$222.00 ,30,1125,8,38,68,68,48,0,0,4.96,4.98,4.88,4.56,4.77,4.85,1.37
24251872,29271809,3/13/2015,within an hour,t,1,t,t,Entire guest suite,2,1 bath,1,1,$88.00 ,2,20,10,17,43,73,107,23,4,4.79,4.85,4.64,4.9,4.93,4.79,2.61
24267750,284544,11/11/2010,within an hour,f,12,t,t,Entire villa,8,2 baths,4,5,$332.00 ,2,365,11,41,63,318,75,17,0,4.36,4.28,4.27,4.36,4.67,4.31,2.15
